,block,rank,fold,n_features_orig,n_features,hoda,train_score,val_score,dataset,subject,session
0,0,"(1, 1)",0,1,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8275695153061224,0.8133979591836734,BNCI2014-008,1,0
1,0,"(2, 2)",0,4,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8164751275510204,0.7974693877551021,BNCI2014-008,1,0
2,0,"(4, 4)",0,16,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.7893284438775511,0.7670102040816327,BNCI2014-008,1,0
3,0,"(8, 8)",0,64,23,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8358788265306123,0.8154183673469388,BNCI2014-008,1,0
4,0,"(1, 1)",1,1,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8212174744897959,0.8428673469387755,BNCI2014-008,1,0
5,0,"(2, 2)",1,4,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8091766581632653,0.8248775510204082,BNCI2014-008,1,0
6,0,"(4, 4)",1,16,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.7823494897959183,0.7914183673469386,BNCI2014-008,1,0
7,0,"(8, 8)",1,64,28,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8276926020408164,0.8333877551020409,BNCI2014-008,1,0
8,0,"(1, 1)",2,1,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8350586734693878,0.7848367346938776,BNCI2014-008,1,0
9,0,"(2, 2)",2,4,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8222735969387754,0.7724081632653061,BNCI2014-008,1,0
10,0,"(4, 4)",2,16,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.7951058673469388,0.7444183673469387,BNCI2014-008,1,0
11,0,"(8, 8)",2,64,26,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8388852040816327,0.7835102040816326,BNCI2014-008,1,0
12,0,"(1, 1)",3,1,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.836892219387755,0.7906836734693877,BNCI2014-008,1,0
13,0,"(2, 2)",3,4,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8262378826530612,0.7896224489795919,BNCI2014-008,1,0
14,0,"(4, 4)",3,16,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.7959846938775511,0.7802857142857142,BNCI2014-008,1,0
15,0,"(8, 8)",3,64,23,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.835076530612245,0.7956530612244899,BNCI2014-008,1,0
