,index,block,rank,F_tr,F_rt,mse,nmse,dataset,subject,session
0,0,1,"(1, 1)",9.663795670399884e-05,0.00019318387725875575,1.0667231590307414e-10,0.9990524090778928,BNCI2014-008,1,0
1,1,2,"(8, 8)",2.357513389589621e-06,0.00027780665661528397,9.920664510510808e-11,0.9291317709728049,BNCI2014-008,1,0
2,2,3,"(8, 8)",2.352231699882922e-06,0.0002926393550588702,9.610721607098363e-11,0.9001036954398656,BNCI2014-008,1,0
3,3,4,"(8, 8)",2.3490103164060854e-06,0.00030368779538136816,8.891489955440594e-11,0.8327431897462736,BNCI2014-008,1,0
4,4,5,"(4, 4)",2.4271368898645342e-06,0.0003102899680136658,8.819525735838802e-11,0.8260032941743141,BNCI2014-008,1,0
5,5,6,"(8, 8)",2.48538973624316e-06,0.00032303931730290645,8.493110631640155e-11,0.7954324948578935,BNCI2014-008,1,0
6,6,7,"(8, 8)",2.5483087141518174e-06,0.0003286460569670996,7.942412947089249e-11,0.743856240628623,BNCI2014-008,1,0
7,7,8,"(4, 4)",2.63392218099498e-06,0.00033072454445074053,7.845147301536792e-11,0.73474670956735,BNCI2014-008,1,0
8,8,9,"(4, 4)",2.695175451724131e-06,0.000332341974815555,7.776769557791713e-11,0.7283427097068891,BNCI2014-008,1,0
9,9,10,"(8, 8)",2.7341805038495797e-06,0.00034053350074336237,7.49049367217523e-11,0.7015311972010645,BNCI2014-008,1,0
10,10,11,"(2, 2)",2.744647342838423e-06,0.0003413703170765216,7.480933292294002e-11,0.7006358083205306,BNCI2014-008,1,0
11,11,12,"(4, 4)",2.8047625454240283e-06,0.00034232878579142404,7.418141910680018e-11,0.6947550059267981,BNCI2014-008,1,0
12,12,13,"(8, 8)",2.8346679453413613e-06,0.00034835161505796804,7.221400820593615e-11,0.6763289824218779,BNCI2014-008,1,0
13,13,14,"(8, 8)",2.875251141989844e-06,0.00035255593627792075,7.066324137781607e-11,0.661805089109585,BNCI2014-008,1,0
14,14,15,"(2, 2)",2.883438613850258e-06,0.0003527771752505982,7.054033236358497e-11,0.660653969948766,BNCI2014-008,1,0
15,15,16,"(8, 8)",2.926626538824406e-06,0.0003567344091369079,6.9459705832559e-11,0.6505332321547543,BNCI2014-008,1,0
16,16,17,"(1, 1)",2.931856167560756e-06,0.0003585834457025849,6.937784444773014e-11,0.6497665495058276,BNCI2014-008,1,0
17,17,18,"(1, 1)",2.935034385257555e-06,0.00035860053257290325,6.934849772673403e-11,0.6494916992594306,BNCI2014-008,1,0
18,18,19,"(8, 8)",2.9684582925432174e-06,0.00036155697011068896,6.658863637960378e-11,0.6236438857547838,BNCI2014-008,1,0
19,19,20,"(1, 1)",2.9729869479226323e-06,0.0003629230373078761,6.653879621281537e-11,0.6231771016761101,BNCI2014-008,1,0
20,0,1,"(8, 8)",9.868520544636729e-06,0.00016781304548567976,6.23346412260884e-11,0.8948437357667771,BNCI2014-008,2,0
21,1,2,"(1, 1)",9.975076112844755e-06,0.00024248893606319862,6.228155820421192e-11,0.8940817034735383,BNCI2014-008,2,0
22,2,3,"(1, 1)",1.0011647553577854e-05,0.00027446445793018724,6.223817753597078e-11,0.8934589531301432,BNCI2014-008,2,0
23,3,4,"(8, 8)",8.286592985482e-06,0.0002898430069663664,5.880839233713803e-11,0.8442227380844937,BNCI2014-008,2,0
24,4,5,"(8, 8)",7.806746019222213e-06,0.0003022219615349567,5.625656469207577e-11,0.8075900257109963,BNCI2014-008,2,0
25,5,6,"(4, 4)",7.801639800875996e-06,0.0003099904082774204,5.576573670490885e-11,0.8005439540401528,BNCI2014-008,2,0
26,6,7,"(1, 1)",7.813714036435706e-06,0.0003107697295964269,5.571656858804497e-11,0.7998381220900577,BNCI2014-008,2,0
27,7,8,"(8, 8)",7.278569119451479e-06,0.0003178008374284259,5.274161433214507e-11,0.7571312238433956,BNCI2014-008,2,0
28,8,9,"(8, 8)",6.79338862273889e-06,0.0003240477166220324,5.087374798065187e-11,0.7303171045831135,BNCI2014-008,2,0
29,9,10,"(4, 4)",6.791488415914386e-06,0.0003248958750094688,5.040622427912294e-11,0.7236055771337413,BNCI2014-008,2,0
30,10,11,"(8, 8)",6.4562533448832475e-06,0.0003301901551245652,4.8174949732940346e-11,0.6915745585675879,BNCI2014-008,2,0
31,11,12,"(4, 4)",6.454525022083746e-06,0.00033162031825085994,4.795118062321204e-11,0.6883622454434581,BNCI2014-008,2,0
32,12,13,"(8, 8)",6.192768862887537e-06,0.0003340165349032429,4.616154891477596e-11,0.6626712220875173,BNCI2014-008,2,0
33,13,14,"(8, 8)",5.995826745326698e-06,0.000337898809713381,4.388139532036906e-11,0.6299385212905299,BNCI2014-008,2,0
34,14,15,"(8, 8)",5.854940326030714e-06,0.00033977770141973467,4.210509379735483e-11,0.6044388591534351,BNCI2014-008,2,0
35,15,16,"(4, 4)",5.851500043690521e-06,0.00034020990703228463,4.169904251108292e-11,0.5986097977716174,BNCI2014-008,2,0
36,16,17,"(2, 2)",5.851311855925108e-06,0.0003403114295482997,4.156010368507323e-11,0.5966152641437005,BNCI2014-008,2,0
37,17,18,"(4, 4)",5.85115911568115e-06,0.0003409397724926319,4.1269783575298436e-11,0.5924475794263564,BNCI2014-008,2,0
38,18,19,"(1, 1)",5.851423325368447e-06,0.00034098199076388523,4.11934288708757e-11,0.5913514709446986,BNCI2014-008,2,0
39,19,20,"(8, 8)",5.6643365809414435e-06,0.00034347597795946925,3.941739193815436e-11,0.5658556071284329,BNCI2014-008,2,0
40,0,1,"(1, 1)",0.0001533569672756277,0.00030656788029670716,4.8818004890422975e-11,0.998018957491208,BNCI2014-008,3,0
41,1,2,"(1, 1)",0.00010929753778475533,0.00038025954721377774,4.868352360095806e-11,0.9952696670067831,BNCI2014-008,3,0
