,block,rank,fold,n_features_orig,n_features,hoda,train_score,val_score,dataset,subject,session
0,0,"(1, 1, 1)",0,1,1,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(1, 1, 1))",0.9995659722222222,0.9305555555555556,BNCI2014-004,1,0train
1,0,"(2, 2, 2)",0,8,3,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(2, 2, 2))",0.9956597222222222,0.9305555555555556,BNCI2014-004,1,0train
2,0,"(3, 4, 4)",0,48,7,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 4, 4))",0.9848090277777778,0.9027777777777778,BNCI2014-004,1,0train
3,0,"(3, 8, 8)",0,192,27,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 8, 8))",0.9913194444444444,0.8611111111111112,BNCI2014-004,1,0train
4,0,"(3, 16, 16)",0,768,100,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 16, 16))",1.0,0.8472222222222221,BNCI2014-004,1,0train
5,0,"(3, 16, 32)",0,1536,172,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 16, 32))",1.0,0.8125,BNCI2014-004,1,0train
6,0,"(3, 16, 64)",0,3072,230,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 16, 64))",1.0,0.7291666666666666,BNCI2014-004,1,0train
7,0,"(3, 16, 72)",0,3456,251,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 16, 72))",1.0,0.8125,BNCI2014-004,1,0train
8,0,"(1, 1, 1)",1,1,1,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(1, 1, 1))",0.9986979166666666,0.951388888888889,BNCI2014-004,1,0train
9,0,"(2, 2, 2)",1,8,6,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(2, 2, 2))",0.9965277777777778,0.9722222222222223,BNCI2014-004,1,0train
10,0,"(3, 4, 4)",1,48,14,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 4, 4))",0.9943576388888888,0.9305555555555556,BNCI2014-004,1,0train
11,0,"(3, 8, 8)",1,192,31,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 8, 8))",0.9891493055555556,0.8402777777777777,BNCI2014-004,1,0train
12,0,"(3, 16, 16)",1,768,104,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 16, 16))",0.9965277777777778,0.7847222222222223,BNCI2014-004,1,0train
13,0,"(3, 16, 32)",1,1536,155,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 16, 32))",1.0,0.8819444444444444,BNCI2014-004,1,0train
14,0,"(3, 16, 64)",1,3072,207,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 16, 64))",1.0,0.7986111111111112,BNCI2014-004,1,0train
15,0,"(3, 16, 72)",1,3456,226,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 16, 72))",1.0,0.875,BNCI2014-004,1,0train
16,0,"(1, 1, 1)",2,1,1,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(1, 1, 1))",1.0,0.6527777777777778,BNCI2014-004,1,0train
17,0,"(2, 2, 2)",2,8,6,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(2, 2, 2))",0.9969618055555556,0.7638888888888888,BNCI2014-004,1,0train
18,0,"(3, 4, 4)",2,48,10,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 4, 4))",0.9956597222222222,0.8194444444444444,BNCI2014-004,1,0train
19,0,"(3, 8, 8)",2,192,23,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 8, 8))",0.9926215277777778,0.7638888888888888,BNCI2014-004,1,0train
20,0,"(3, 16, 16)",2,768,93,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 16, 16))",0.9995659722222222,0.7430555555555555,BNCI2014-004,1,0train
21,0,"(3, 16, 32)",2,1536,136,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 16, 32))",1.0,0.7777777777777778,BNCI2014-004,1,0train
22,0,"(3, 16, 64)",2,3072,206,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 16, 64))",1.0,0.8055555555555556,BNCI2014-004,1,0train
23,0,"(3, 16, 72)",2,3456,219,"HODA(init='random', max_iter=128, obj='tr', random_state=42, rank=(3, 16, 72))",1.0,0.8125,BNCI2014-004,1,0train
