,index,block,rank,F_tr,F_rt,mse,nmse,dataset,subject,session
0,0,1,"(2, 2, 2)",0.011051095090309118,0.03586276608960178,0.979547413899538,0.979547413899538,BNCI2014-004,1,0train
1,1,2,"(2, 2, 2)",0.009270162354435627,0.052130626827457435,0.9717782548045816,0.9717782548045816,BNCI2014-004,1,0train
2,2,3,"(3, 16, 72)",9.130818683005121e-05,0.6151978811992705,3.8284062491322e-30,3.8284062491322e-30,BNCI2014-004,1,0train
3,3,4,"(1, 1, 1)",9.130818683005121e-05,0.6153719410195866,3.8189439622073095e-30,3.8189439622073095e-30,BNCI2014-004,1,0train
4,4,5,"(1, 1, 1)",9.130818683005117e-05,0.6155460005095515,3.804186184542451e-30,3.804186184542451e-30,BNCI2014-004,1,0train
5,5,6,"(1, 1, 1)",9.130818683005117e-05,0.6157200596694178,3.8009508179097046e-30,3.8009508179097046e-30,BNCI2014-004,1,0train
6,6,7,"(1, 1, 1)",9.130818683005121e-05,0.6158941184994373,3.798148932037177e-30,3.798148932037177e-30,BNCI2014-004,1,0train
7,7,8,"(1, 1, 1)",9.130818683005117e-05,0.6160681769998617,3.7948299416632634e-30,3.7948299416632634e-30,BNCI2014-004,1,0train
8,8,9,"(1, 1, 1)",9.130818683005121e-05,0.6162422351709421,3.79251045904588e-30,3.79251045904588e-30,BNCI2014-004,1,0train
9,9,10,"(1, 1, 1)",9.130818683005117e-05,0.6164162930129297,3.789902680504279e-30,3.789902680504279e-30,BNCI2014-004,1,0train
10,0,1,"(3, 4, 4)",0.003457837312914263,0.019638872795454423,0.9725090387420287,0.9725090387420288,BNCI2014-004,1,1train
11,1,2,"(1, 1, 1)",0.004358795837454113,0.045330370511947764,0.9694282709869669,0.969428270986967,BNCI2014-004,1,1train
12,2,3,"(3, 16, 64)",0.00012019603718564095,0.6716143975578621,0.28120495085409286,0.2812049508540929,BNCI2014-004,1,1train
13,3,4,"(1, 1, 1)",0.00012043554658782053,0.6732646931932662,0.2807135568177524,0.28071355681775245,BNCI2014-004,1,1train
14,4,5,"(2, 2, 2)",0.00012065040191765747,0.6767084306477049,0.2790803574025651,0.27908035740256515,BNCI2014-004,1,1train
15,5,6,"(3, 8, 8)",0.00012116026941926736,0.7191819243271803,0.26943595695252065,0.2694359569525207,BNCI2014-004,1,1train
16,6,7,"(3, 4, 4)",0.00012139550088061143,0.7308149681043112,0.2652096762824363,0.26520967628243636,BNCI2014-004,1,1train
17,7,8,"(1, 1, 1)",0.00012153011157184948,0.7322470208406432,0.26436144017773,0.26436144017773006,BNCI2014-004,1,1train
18,8,9,"(1, 1, 1)",0.00012165488326074888,0.7335311929664445,0.26384830096908335,0.2638483009690834,BNCI2014-004,1,1train
19,9,10,"(2, 2, 2)",0.00012176233606041946,0.7360510788153807,0.262346341450767,0.2623463414507671,BNCI2014-004,1,1train
20,0,1,"(1, 1, 1)",0.011198644503452976,0.022117322894319624,0.9896464969065764,0.9896464969065764,BNCI2014-004,1,2train
21,1,2,"(3, 4, 4)",0.0033654291176110946,0.029143369870170483,0.976543531074966,0.976543531074966,BNCI2014-004,1,2train
22,2,3,"(2, 2, 2)",0.0032850394405456625,0.03388686300623071,0.9701382297358142,0.9701382297358142,BNCI2014-004,1,2train
23,3,4,"(2, 2, 2)",0.0032086071300868398,0.04706506802155324,0.963116767227649,0.963116767227649,BNCI2014-004,1,2train
24,4,5,"(3, 16, 64)",8.006177335049721e-05,0.43860717844010993,0.2684578388355967,0.2684578388355967,BNCI2014-004,1,2train
25,5,6,"(2, 2, 2)",8.025151460470444e-05,0.44050476378357917,0.2666981806504279,0.2666981806504279,BNCI2014-004,1,2train
26,6,7,"(2, 2, 2)",8.032873882169717e-05,0.4420747346090635,0.26549916087713965,0.26549916087713965,BNCI2014-004,1,2train
27,7,8,"(3, 4, 4)",8.04391326557849e-05,0.44902525579288033,0.26267027746748245,0.26267027746748245,BNCI2014-004,1,2train
28,8,9,"(1, 1, 1)",8.047365708044725e-05,0.44938784048150937,0.26209768899485403,0.26209768899485403,BNCI2014-004,1,2train
29,9,10,"(3, 8, 8)",8.05389693449695e-05,0.4754502649816132,0.254771059628396,0.254771059628396,BNCI2014-004,1,2train
30,0,1,"(2, 2, 2)",0.006131367419400049,0.02201627792982785,0.9857607012541617,0.9857607012541619,BNCI2014-004,1,3test
31,1,2,"(2, 2, 2)",0.004526314966888051,0.029654614829490757,0.9697577292970377,0.969757729297038,BNCI2014-004,1,3test
32,2,3,"(3, 4, 4)",0.003236072971809814,0.03438638550243741,0.9508209865261754,0.9508209865261756,BNCI2014-004,1,3test
33,3,4,"(3, 8, 8)",0.002343497875368025,0.04808937949927115,0.9175369710029292,0.9175369710029294,BNCI2014-004,1,3test
34,4,5,"(3, 8, 8)",0.0019434155815229487,0.05259127462182974,0.8983963462132577,0.8983963462132579,BNCI2014-004,1,3test
35,5,6,"(2, 2, 2)",0.0019596071285249445,0.07339840049018113,0.8929268668347261,0.8929268668347263,BNCI2014-004,1,3test
36,6,7,"(1, 1, 1)",0.0019760316912998204,0.08098151892565646,0.8917811051611125,0.8917811051611128,BNCI2014-004,1,3test
37,7,8,"(2, 2, 2)",0.001958732556181306,0.0850404399106923,0.8876150391965283,0.8876150391965285,BNCI2014-004,1,3test
38,8,9,"(2, 2, 2)",0.0019550991866167655,0.09866055928969167,0.8848109123761053,0.8848109123761055,BNCI2014-004,1,3test
39,9,10,"(3, 4, 4)",0.0018963664276375658,0.10194357529235912,0.8769626495977902,0.8769626495977905,BNCI2014-004,1,3test
40,0,1,"(1, 1, 1)",0.011791502055424907,0.02328821655946419,0.9940914564920015,0.9940914564920015,BNCI2014-004,1,4test
41,1,2,"(3, 4, 4)",0.0034426066513225198,0.030092211450315532,0.9800407366773866,0.9800407366773866,BNCI2014-004,1,4test
42,2,3,"(1, 1, 1)",0.003603804625258739,0.038031982225788984,0.9785730674952319,0.9785730674952319,BNCI2014-004,1,4test
43,3,4,"(2, 2, 2)",0.0033388142990722017,0.047581725909640736,0.9747016629520929,0.9747016629520929,BNCI2014-004,1,4test
44,4,5,"(3, 16, 16)",0.0009044301696703628,0.1903515136241951,0.829149506948453,0.829149506948453,BNCI2014-004,1,4test
45,5,6,"(3, 16, 72)",3.179718298463124e-05,0.2824243849059441,2.7625773772401334e-30,2.7625773772401334e-30,BNCI2014-004,1,4test
46,6,7,"(1, 1, 1)",3.179718298463125e-05,0.28248907594827466,2.75870566319864e-30,2.75870566319864e-30,BNCI2014-004,1,4test
47,7,8,"(1, 1, 1)",3.1797182984631266e-05,0.28255376684131345,2.756778882763601e-30,2.756778882763601e-30,BNCI2014-004,1,4test
48,8,9,"(1, 1, 1)",3.179718298463125e-05,0.2826184575851496,2.754261792321726e-30,2.754261792321726e-30,BNCI2014-004,1,4test
49,9,10,"(1, 1, 1)",3.1797182984631266e-05,0.2826831481798711,2.752459478175773e-30,2.752459478175773e-30,BNCI2014-004,1,4test
50,0,1,"(1, 1, 1)",0.0101082786348546,0.019879614648547386,0.9943242720517679,0.9943242720517677,BNCI2014-004,2,0train
51,1,2,"(2, 2, 2)",0.006151677345550751,0.040599176294627295,0.9830305773320398,0.9830305773320396,BNCI2014-004,2,0train
52,2,3,"(2, 2, 2)",0.00528693637697498,0.048987054938278034,0.9759688355526748,0.9759688355526746,BNCI2014-004,2,0train
53,3,4,"(3, 4, 4)",0.004234199854308966,0.06573768598780402,0.9633409295221523,0.9633409295221521,BNCI2014-004,2,0train
54,4,5,"(2, 2, 2)",0.004299277199927922,0.08277311168870273,0.9571400824698642,0.9571400824698639,BNCI2014-004,2,0train
55,5,6,"(2, 2, 2)",0.004355636528333821,0.08362373035141708,0.9545035406231666,0.9545035406231663,BNCI2014-004,2,0train
56,6,7,"(3, 4, 4)",0.0038892500764781436,0.09048682859670444,0.9407386997532637,0.9407386997532635,BNCI2014-004,2,0train
57,7,8,"(3, 4, 4)",0.003560437102614121,0.09609641508822096,0.9310790222497606,0.9310790222497604,BNCI2014-004,2,0train
58,8,9,"(3, 4, 4)",0.00343642033483292,0.11536189083558362,0.9195679398607971,0.9195679398607969,BNCI2014-004,2,0train
59,9,10,"(3, 4, 4)",0.003188288065119376,0.13012258174522945,0.9112285918499333,0.9112285918499331,BNCI2014-004,2,0train
60,0,1,"(3, 8, 8)",0.0014852402556893298,0.011948747049550705,0.9457087328091276,0.9457087328091274,BNCI2014-004,2,1train
