,subject,session,block,select,rank,n_features,fold,hoda,train_score,val_score,test_score
0,1,0,0,False,1,1,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8310466801744875,0.8184776457272213,0.7923601064593434
1,1,0,0,False,1,1,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8367840830564817,0.7896780481670125,0.795363938553964
2,1,0,0,False,1,1,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8373636595061391,0.8174693622668019,0.7954081125553554
3,1,0,0,False,1,1,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8385346701392289,0.794223713995785,0.7989972501684135
4,1,0,0,False,1,1,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8357432392738952,0.7949886816017484,0.8008525582268557
5,1,0,1,False,8,65,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8692018754563288,0.826463560334528,0.815628761692306
6,1,0,1,False,8,65,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8719923840130739,0.804250770294913,0.8195823348168435
7,1,0,1,False,8,65,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8761724792919107,0.8223089532433064,0.812061711079944
8,1,0,1,False,8,65,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8771290657371688,0.8016079931309031,0.8207971198551093
9,1,0,1,False,8,65,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8692962186930894,0.7927250019514481,0.8152201521794349
10,1,0,2,False,8,129,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8787717070777268,0.8313682952901968,0.8207529458537178
11,1,0,2,False,8,129,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8819375414788815,0.7997547632522165,0.8221112963965058
12,1,0,2,False,8,129,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8851156324044882,0.8220279447349934,0.8233039944340758
13,1,0,2,False,8,129,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8862034190377348,0.805058153149637,0.8297644421375798
14,1,0,2,False,8,129,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8781776881351949,0.8075247833892749,0.8220339918940707
15,1,0,3,False,8,193,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8857934280835608,0.8380179840281708,0.8286048746010535
16,1,0,3,False,8,193,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8898330679662323,0.7954631201660065,0.8256010425064328
17,1,0,3,False,8,193,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8914788415219221,0.8215752088049333,0.8277545250742675
18,1,0,3,False,8,193,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.894606105704271,0.8145031613457185,0.839471678943358
19,1,0,3,False,8,193,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8847797990874734,0.8157833112169229,0.8321719252134158
20,1,0,4,False,2,197,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.8874481849965448,0.8350154058982582,0.8279533080805291
21,1,0,4,False,2,197,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.8919276598531343,0.80035213481733,0.8271581760554825
22,1,0,4,False,2,197,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.892457947402432,0.8237920537038481,0.8289361796114897
23,1,0,4,False,2,197,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.895171049797325,0.8167043946608384,0.8390188954290951
24,1,0,4,False,2,197,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.8865598135782403,0.8178596518616812,0.829499398129231
25,1,0,5,False,8,261,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8900686240300416,0.8371690875935358,0.828152091086791
