,index,block,rank,F_tr,F_rt,log_like,pseudo_R2,pseudo_R2_adj,aic,bic,mse,nmse,err_cross_corr,select,subject,session
0,0,1,"(1, 1)",9.663795670399884e-05,0.00019318387725875575,-3724.708421865551,-0.9682904810443749,-0.9687593449036038,7451.416843731102,7457.759683535373,1.0667694926799937e-10,0.9990958034145725,0.0006175129245695577,False,1,0
1,1,2,"(8, 8)",2.880834093640006e-06,0.00027615274421099843,-114563.14953951846,-59.539921834782746,-60.491807398222726,229256.29907903692,229668.58366631457,9.935738512585078e-11,0.9305435447736501,0.0005343454125887922,False,1,0
2,2,3,"(8, 8)",2.8646551735550812e-06,0.00029029501871344246,-116216.56726614623,-60.41365636750664,-62.36018257669788,232691.13453229246,233509.3608670435,9.640674693748167e-11,0.9029089878086931,0.0005763060763203965,False,1,0
3,3,4,"(8, 8)",2.8619860565106267e-06,0.00029756135293183486,-125347.82988904491,-65.23899442485875,-68.43023903893706,251081.65977808982,252305.8278603142,9.079757372119161e-11,0.8503756011729177,0.0006880841693573757,False,1,0
4,4,5,"(2, 2)",2.87134796355296e-06,0.0002985006000145426,-125476.41081704164,-65.30694192247604,-68.57092681970937,251346.8216340833,252596.36107552476,9.067050688322586e-11,0.8491855414136551,0.0006776943621712486,False,1,0
5,5,6,"(8, 8)",3.148368872031787e-06,0.000305119160552513,-282868.5941058559,-148.47950231392863,-158.38659985174868,566259.1882117118,567914.6694006267,8.667978985338792e-11,0.8118100009198083,0.0006956496016384117,False,1,0
6,6,7,"(8, 8)",3.269689895086979e-06,0.0003138434899864376,-207878.36353136197,-108.8515528764338,-118.06728717814804,416406.72706272395,418468.1499991122,8.372565142008018e-11,0.7841426619897397,0.0007071629506744598,False,1,0
7,7,8,"(4, 4)",3.293720695909385e-06,0.0003194530437185918,-171177.81586273643,-89.45746065670234,-97.45279349338857,343037.63172547286,345200.5400987294,8.320063790483327e-11,0.7792255847446702,0.0007260455875721593,False,1,0
8,8,9,"(8, 8)",3.264927477944334e-06,0.0003263972112237931,-112041.59508667557,-58.20742783395573,-64.52767250257779,224873.19017335115,227378.61189603838,8.100853983100726e-11,0.7586952264876993,0.0006839141574485387,False,1,0
9,9,10,"(1, 1)",3.26722556291669e-06,0.0003265616620097388,-112045.2358368702,-58.20935175742578,-64.54707830989476,224882.4716737404,227394.2362362319,8.095743058754259e-11,0.7582165567187227,0.0006853304054172893,False,1,0
10,0,1,"(8, 8)",9.868520544636729e-06,0.00016781304548567976,-inf,-inf,-inf,inf,inf,6.233523237951513e-11,0.8948522220583541,0.000760836063527327,False,2,0
11,1,2,"(8, 8)",8.268652953155387e-06,0.0002054199361409179,-inf,-inf,-inf,inf,inf,5.798905901101325e-11,0.8324608143777624,0.0009257464782527416,False,2,0
12,2,3,"(8, 8)",7.408370196379324e-06,0.0002479206866869702,-inf,-inf,-inf,inf,inf,5.5683282038240356e-11,0.7993602776685278,0.0008190118953715946,False,2,0
13,3,4,"(8, 8)",7.287550129230293e-06,0.00026569227971332216,-inf,-inf,-inf,inf,inf,5.2930935161541525e-11,0.7598490153458947,0.0008840523477172961,False,2,0
14,4,5,"(1, 1)",7.3056391651463746e-06,0.00027225248117935684,-inf,-inf,-inf,inf,inf,5.278360976461524e-11,0.7577340884614889,0.0008749144932292918,False,2,0
15,5,6,"(2, 2)",7.306120972603689e-06,0.00027801943299689936,-inf,-inf,-inf,inf,inf,5.2551026455070454e-11,0.7543952432624738,0.0008699599233981933,False,2,0
16,6,7,"(8, 8)",6.721118727113764e-06,0.0002875718484665941,-inf,-inf,-inf,inf,inf,5.0178716673443186e-11,0.7203395961033312,0.000841222600204086,False,2,0
17,7,8,"(8, 8)",6.638067388784538e-06,0.00029674159622059644,-inf,-inf,-inf,inf,inf,4.863379840697046e-11,0.6981615518275874,0.0008780884618582184,False,2,0
18,8,9,"(4, 4)",6.644397405052764e-06,0.00030059138103933464,-inf,-inf,-inf,inf,inf,4.843677446090012e-11,0.6953331783827539,0.0008827470394594581,False,2,0
19,9,10,"(8, 8)",6.422942916405853e-06,0.00030520680850607804,-inf,-inf,-inf,inf,inf,4.511877589305439e-11,0.6477017141548462,0.0011358232108088727,False,2,0
20,0,1,"(1, 1)",0.0001533569672756277,0.00030656788029670716,-4493.463344284955,-1.374532480329853,-1.3750981145557537,8988.92668856991,8995.269528374181,4.881981783178446e-11,0.9980560206577925,0.0004557014295637092,False,3,0
21,1,2,"(2, 2)",7.242784831541938e-05,0.0003835257377522374,-5640.491813869021,-1.9806699178043372,-1.9842234107917052,11290.983627738042,11322.697826759399,4.852028428488123e-11,0.9919324570487306,0.0005171851981335851,False,3,0
22,2,3,"(1, 1)",6.603691804320058e-05,0.00039530320981206226,-5797.903009878236,-2.063852525306152,-2.0682367645505684,11607.806019756472,11645.863058582101,4.82937034963968e-11,0.9873003152228131,0.0005091206011599714,False,3,0
