,n_blocks,theta,test_score,test_mse
0,1,0.0,0.8298234693877552,0.9983217647967594
1,1,0.1,0.8316448979591836,0.9976770342842753
2,1,0.2,0.8256326530612246,0.9963856370344375
3,1,0.3,0.8094397959183673,0.9931247372118832
4,1,0.4,0.7969071428571428,0.989641197144147
5,1,0.5,0.7823173469387755,0.9853623754507865
6,1,0.6,0.7701428571428571,0.9803121262965522
7,1,0.7,0.7607489795918367,0.9740941186635613
8,1,0.8,0.7475081632653061,0.9586063449117022
9,1,0.9,0.7429867346938775,0.9262124865917789
10,1,1.0,0.8545642857142857,5.505190099336334e-31
11,2,0.0,0.8502612244897959,0.9946939785098664
12,2,0.1,0.850061224489796,0.9942255539702801
13,2,0.2,0.8469530612244898,0.9916504861892834
14,2,0.3,0.8405897959183675,0.9865141758843492
15,2,0.4,0.8256530612244898,0.9807216654604252
16,2,0.5,0.8115448979591836,0.9711875824921604
17,2,0.6,0.7943040816326531,0.9630868097604418
18,2,0.7,0.787415306122449,0.9591673409405489
19,2,0.8,0.77575,0.9386517797259591
20,2,0.9,0.7711367346938776,0.9050727463336452
21,2,1.0,0.8454469387755102,2.1721516374082606e-52
22,3,0.0,0.8579928571428571,0.9895509879583377
23,3,0.1,0.8572122448979591,0.9902045269212115
24,3,0.2,0.8503591836734694,0.988139388629645
25,3,0.3,0.8462112244897959,0.9825878376957625
26,3,0.4,0.8376438775510204,0.9757728635455039
27,3,0.5,0.8281989795918367,0.9627295412671734
28,3,0.6,0.8122622448979591,0.9504917636603316
29,3,0.7,0.7988989795918366,0.94460016017347
30,3,0.8,0.7875428571428571,0.9125779290506371
31,3,0.9,0.7846724489795919,0.8567597266419884
32,3,1.0,0.8347530612244898,2.1721516374082606e-52
33,4,0.0,0.8585510204081632,0.987987369484386
34,4,0.1,0.8606836734693877,0.9872164241258792
35,4,0.2,0.854245918367347,0.9838128281087666
36,4,0.3,0.848030612244898,0.9780979532168612
37,4,0.4,0.8413255102040816,0.9683746378820377
38,4,0.5,0.8332091836734694,0.9526829972114088
39,4,0.6,0.8190826530612245,0.9392479201607724
40,4,0.7,0.8040969387755101,0.9304862098328808
41,4,0.8,0.796754081632653,0.8964192128385082
42,4,0.9,0.7946459183673469,0.832641830660193
43,5,0.0,0.8602122448979591,0.9862899064650288
44,5,0.1,0.8610357142857143,0.9854090395028271
45,5,0.2,0.853911224489796,0.9812581391095619
46,5,0.3,0.8475969387755102,0.9745325780938566
47,5,0.4,0.8426061224489796,0.9654562765253105
48,5,0.5,0.8367010204081632,0.9480357595066682
49,5,0.6,0.8233448979591836,0.9325359907673683
50,5,0.7,0.8094520408163266,0.9179988481878458
51,5,0.8,0.8026479591836735,0.8828275886009486
52,5,0.9,0.8015469387755102,0.8124433964807324
53,6,0.0,0.8595653061224489,0.984309206014443
54,6,0.1,0.8615326530612245,0.9842185740556214
55,6,0.2,0.8565479591836734,0.9782890904170266
56,6,0.3,0.8481867346938776,0.9704314960880069
57,6,0.4,0.8468091836734694,0.9608926276476911
58,6,0.5,0.8387591836734695,0.9416852160510141
59,6,0.6,0.8273755102040816,0.9265744789678532
60,6,0.7,0.8137755102040817,0.9071748383147709
61,6,0.8,0.8074122448979593,0.8701970077645415
62,6,0.9,0.8060836734693877,0.7937222260843086
63,7,0.0,0.8600183673469388,0.9825024830238652
64,7,0.1,0.8632040816326529,0.9824973490364037
65,7,0.2,0.8582438775510204,0.975786799201595
66,7,0.3,0.8495969387755101,0.9664335451780204
67,7,0.4,0.8474265306122449,0.9568587076882114
68,7,0.5,0.8415285714285714,0.9342216577327894
69,7,0.6,0.8304173469387756,0.921277016759721
70,7,0.7,0.8168816326530612,0.898111189924285
71,7,0.8,0.8107285714285715,0.8555709683350623
72,7,0.9,0.8097632653061224,0.7761886887824834
73,8,0.0,0.8604744897959182,0.9805201742702427
74,8,0.1,0.8632775510204083,0.9810660379587773
75,8,0.2,0.8616479591836734,0.9736793512365326
76,8,0.3,0.8502653061224489,0.9634152835636336
77,8,0.4,0.8477857142857144,0.9527525778153034
78,8,0.5,0.8426357142857143,0.9278758013624108
79,8,0.6,0.8326714285714285,0.9148347182106175
80,8,0.7,0.8197632653061225,0.888658267592872
81,8,0.8,0.8141091836734693,0.8409580837417643
82,8,0.9,0.8127295918367347,0.7606595006954955
83,9,0.0,0.8604336734693877,0.978145402138912
84,9,0.1,0.8641112244897959,0.9794246067832141
85,9,0.2,0.862219387755102,0.971403068527723
86,9,0.3,0.8539081632653062,0.9601299971395381
87,9,0.4,0.8480836734693877,0.9494108719541856
88,9,0.5,0.8432989795918366,0.9228478039227885
89,9,0.6,0.8344479591836734,0.9091407551130315
90,9,0.7,0.8222510204081633,0.878961236258054
91,9,0.8,0.8164448979591837,0.8269621760220932
92,9,0.9,0.815245918367347,0.7452105584712394
93,10,0.0,0.8596499999999999,0.9767161239765543
94,10,0.1,0.8640877551020407,0.9774903499516544
95,10,0.2,0.8627663265306122,0.969104152995104
96,10,0.3,0.8549204081632652,0.9570062685679892
97,10,0.4,0.8481510204081631,0.9458215818609818
98,10,0.5,0.8435132653061224,0.91851655648862
99,10,0.6,0.8360173469387755,0.9029346982569677
100,10,0.7,0.8252132653061224,0.8707797122434071
101,10,0.8,0.8184316326530612,0.8132742660839198
102,10,0.9,0.8177438775510204,0.7288633848495015
103,11,0.0,0.8597673469387755,0.9749886298040341
104,11,0.1,0.8643336734693877,0.9758625240752871
105,11,0.2,0.8634408163265306,0.9662968123561972
106,11,0.3,0.8554969387755103,0.9540378014514925
107,11,0.4,0.8488755102040816,0.9420393348734383
108,11,0.5,0.8434755102040816,0.9141196170027588
109,11,0.6,0.8369642857142857,0.8971618118417733
110,11,0.7,0.8270316326530611,0.8622965621813558
111,11,0.8,0.8204948979591837,0.8014610905353552
112,11,0.9,0.820023469387755,0.7076316054803363
113,12,0.0,0.8594387755102041,0.9732261533322155
114,12,0.1,0.8643030612244897,0.9743629593462867
115,12,0.2,0.8631693877551021,0.9632850112627102
116,12,0.3,0.8567632653061225,0.9504392402850732
117,12,0.4,0.8501785714285715,0.937862049122441
118,12,0.5,0.8441581632653061,0.9099209982492698
119,12,0.6,0.8377693877551021,0.8918451534152252
120,12,0.7,0.828795918367347,0.854057294854069
121,12,0.8,0.8229612244897959,0.7921613270800152
122,12,0.9,0.8215622448979591,0.689934920268501
123,13,0.0,0.8597387755102041,0.9714656200241748
124,13,0.1,0.8643285714285713,0.9728224080617623
125,13,0.2,0.8637244897959183,0.9601303582701528
126,13,0.3,0.8580346938775509,0.9456425003928283
127,13,0.4,0.8522275510204083,0.9332464676128058
128,13,0.5,0.844958163265306,0.9060033885639619
129,13,0.6,0.8389683673469388,0.8866022627068249
130,13,0.7,0.8309367346938774,0.8464221250151672
131,13,0.8,0.824695918367347,0.7833263150805234
132,13,0.9,0.8228173469387755,0.6726165731365745
133,14,0.0,0.8593306122448979,0.9691164821787593
134,14,0.1,0.8638193877551019,0.9705470207107579
135,14,0.2,0.8631826530612244,0.957084285952549
136,14,0.3,0.8590561224489797,0.9408978410972635
137,14,0.4,0.8532979591836736,0.9288757976392594
138,14,0.5,0.8458428571428571,0.9018061558890947
139,14,0.6,0.8400173469387756,0.8821346940747844
140,14,0.7,0.8320530612244899,0.8392280271606716
141,14,0.8,0.8266724489795918,0.775108071489943
142,14,0.9,0.8239520408163266,0.6578691819430398
143,15,0.0,0.8592397959183673,0.9671610177052579
144,15,0.1,0.8637020408163265,0.968553399464464
145,15,0.2,0.862630612244898,0.9542031474041226
146,15,0.3,0.8593877551020409,0.9367309982003574
147,15,0.4,0.8540071428571429,0.9246281016764305
148,15,0.5,0.846938775510204,0.8968738775633897
149,15,0.6,0.8423132653061224,0.8772886427329677
150,15,0.7,0.8343102040816326,0.8315184752987053
151,15,0.8,0.8281928571428571,0.7671133660930399
152,15,0.9,0.8249448979591836,0.6447042203901238
153,16,0.0,0.859034693877551,0.965105505100006
154,16,0.1,0.8633969387755102,0.9664809609666074
155,16,0.2,0.8626387755102041,0.9513890332244997
156,16,0.3,0.8590122448979592,0.9323568080723513
157,16,0.4,0.8542061224489796,0.9196728881806683
158,16,0.5,0.8477969387755102,0.8911284155416718
159,16,0.6,0.8437530612244897,0.871890755946753
160,16,0.7,0.8379020408163266,0.8239871472187804
161,16,0.8,0.8294795918367347,0.7604844049124401
162,16,0.9,0.825815306122449,0.631445005134922
163,17,0.0,0.8590785714285714,0.9632662535451955
164,17,0.1,0.863730612244898,0.9639433895169448
165,17,0.2,0.8630693877551021,0.9486053672302994
166,17,0.3,0.8592204081632653,0.9282129743026116
167,17,0.4,0.8542561224489796,0.9147647473693945
168,17,0.5,0.8486867346938775,0.8870181602600375
169,17,0.6,0.8442816326530613,0.866121941089442
170,17,0.7,0.8391795918367346,0.8168098372656749
171,17,0.8,0.8309193877551021,0.7532714116989018
172,17,0.9,0.8271244897959183,0.6159422018778711
173,18,0.0,0.858984693877551,0.9612517266730822
174,18,0.1,0.8634295918367346,0.9618442731885484
175,18,0.2,0.8628632653061225,0.945825922647416
176,18,0.3,0.8595632653061225,0.9243779852556566
177,18,0.4,0.8545326530612245,0.909677945187268
178,18,0.5,0.8492887755102041,0.8826086505967439
179,18,0.6,0.8451785714285714,0.8601565100021192
180,18,0.7,0.8409316326530613,0.8091834311958228
181,18,0.8,0.8318326530612244,0.7469028467834739
182,18,0.9,0.828569387755102,0.6021577854329492
183,19,0.0,0.8587857142857143,0.9592786556918295
184,19,0.1,0.863654081632653,0.9589975268123739
185,19,0.2,0.8626265306122448,0.942405301008186
186,19,0.3,0.8595714285714285,0.9205816839066889
187,19,0.4,0.8552102040816326,0.9054194934904303
188,19,0.5,0.8496367346938776,0.8786170694688815
189,19,0.6,0.845276530612245,0.8552535082048367
190,19,0.7,0.8417571428571428,0.8027100748883444
191,19,0.8,0.8331959183673469,0.739361326815928
192,19,0.9,0.8293724489795918,0.5890442811723229
193,20,0.0,0.859080612244898,0.9571396889415095
194,20,0.1,0.8638489795918367,0.9568779862652914
195,20,0.2,0.8626795918367346,0.9390393254040234
196,20,0.3,0.8600816326530613,0.9167218075958505
197,20,0.4,0.8552224489795919,0.9013403491897393
198,20,0.5,0.8497540816326531,0.8742304284950434
199,20,0.6,0.845876530612245,0.8500736130107025
200,20,0.7,0.8420561224489796,0.7964769921042782
201,20,0.8,0.8346500000000001,0.734170861699333
202,20,0.9,0.8303469387755102,0.5770662704183449
203,21,0.0,0.8588989795918367,0.954920397202131
204,21,0.1,0.8637908163265307,0.9543697992767827
205,21,0.2,0.8624653061224489,0.9359297770566325
206,21,0.3,0.8602428571428572,0.9129492307974276
207,21,0.4,0.8555255102040815,0.896123047670659
208,21,0.5,0.85045,0.8695809791237016
209,21,0.6,0.8457408163265306,0.8460820494628039
210,21,0.7,0.8419173469387754,0.7904059178240366
211,21,0.8,0.8365142857142857,0.7276593661822431
212,21,0.9,0.831719387755102,0.566607389817562
213,22,0.0,0.8587530612244898,0.9527496455516449
214,22,0.1,0.8639183673469388,0.9518706235799611
215,22,0.2,0.862354081632653,0.9325039226084664
216,22,0.3,0.8604316326530613,0.9094294479392474
217,22,0.4,0.8556765306122449,0.8913059113713665
218,22,0.5,0.8505132653061225,0.8654505052791327
219,22,0.6,0.8460530612244899,0.8423538139216309
220,22,0.7,0.842154081632653,0.7848368080750002
221,22,0.8,0.838034693877551,0.7214586286553712
222,22,0.9,0.8326948979591837,0.5564087767099238
223,23,0.0,0.8588857142857143,0.9502973739823377
224,23,0.1,0.8639469387755103,0.9493301851237386
225,23,0.2,0.8624632653061225,0.9290538751517555
226,23,0.3,0.8604173469387755,0.9055137446947732
227,23,0.4,0.8557673469387754,0.8868027434992806
228,23,0.5,0.8506061224489796,0.8610210865126999
229,23,0.6,0.8466204081632653,0.8385972192247018
230,23,0.7,0.8420632653061224,0.77922174191379
231,23,0.8,0.8390989795918367,0.7152393983079682
232,23,0.9,0.8344265306122448,0.5447492191997432
233,24,0.0,0.8587275510204082,0.9480958050536994
234,24,0.1,0.8637867346938775,0.9467491692897113
