,dataset,index,pipe1,pipe2,p,smd,nsub,p_star,dof,ci,dataset_idx
3,BNCI2014-008,3,BTTDA,HODA,0.00390625,1.5694555112691837,8.0,**,7.0,0.6698346895648992,0
12,BNCI2014-009,3,BTTDA,HODA,0.005859375,0.9429137142997656,10.0,**,9.0,0.5796812075496328,1
21,BNCI2015-003,3,BTTDA,HODA,0.0029296875,1.3065154677492836,10.0,**,9.0,0.5796812075496328,2
30,BrainInvaders2012,3,BTTDA,HODA,6.139592680668323e-06,1.7408077552326207,25.0,***,24.0,0.34217641598188553,3
39,BrainInvaders2013a,3,BTTDA,HODA,3.2782554626464844e-06,1.0457652193962017,24.0,***,23.0,0.34984256063871066,4
48,BrainInvaders2014a,3,BTTDA,HODA,2.5647197593496936e-11,1.179912986871934,64.0,***,63.0,0.20867527771335156,5
57,BrainInvaders2014b,3,BTTDA,HODA,0.0003021083612111397,0.6152113594256235,38.0,***,37.0,0.2736827245515479,6
66,BrainInvaders2015a,3,BTTDA,HODA,1.5916157281026244e-12,1.1719424935158937,43.0,***,42.0,0.25649532988135293,7
75,BrainInvaders2015b,3,BTTDA,HODA,2.1088908397359774e-11,1.3342153316340783,44.0,***,43.0,0.25343094402643906,8
84,Cattan2019-VR,3,BTTDA,HODA,6.67572021484375e-06,1.284969993689571,21.0,***,20.0,0.37636437622170166,9
93,EPFLP300,3,BTTDA,HODA,0.00390625,1.7206605521672536,8.0,**,7.0,0.6698346895648992,10
102,Huebner2017,3,BTTDA,HODA,0.0003662109375,0.6234827943002738,13.0,***,12.0,0.4943176284241863,11
111,Huebner2018,3,BTTDA,HODA,0.001220703125,1.1460367856278357,12.0,**,11.0,0.5184272917560628,12
120,Lee2019-ERP,3,BTTDA,HODA,8.128492284665484e-11,1.059690984138078,54.0,***,53.0,0.2278183638906122,13
-1,\textbf{Meta-effect},14,BTTDA,HODA,1.5616204411498387e-58,1.1958272106655428,26.714285714285715,***,25.714285714285715,0.3301324259797695,14
