,dataset,index,pipe1,pipe2,p,smd,nsub,p_star,dof,ci,dataset_idx
6,BNCI2014-008,6,BTTDA,PARAFACDA,0.01953125,0.9023978962104252,8.0,*,7.0,0.6698346895648992,0
15,BNCI2014-009,6,BTTDA,PARAFACDA,0.017578125,0.8003092024190663,10.0,*,9.0,0.5796812075496328,1
24,BNCI2015-003,6,BTTDA,PARAFACDA,0.0078125,0.9564836537611511,10.0,**,9.0,0.5796812075496328,2
33,BrainInvaders2012,6,BTTDA,PARAFACDA,0.01977242822401211,0.49350664111039977,25.0,*,24.0,0.34217641598188553,3
42,BrainInvaders2013a,6,BTTDA,PARAFACDA,0.07999265193939209,0.22372797184339968,24.0,,23.0,0.34984256063871066,4
51,BrainInvaders2014a,6,BTTDA,PARAFACDA,0.0028146525258551176,0.39894847530329675,64.0,**,63.0,0.20867527771335156,5
60,BrainInvaders2014b,6,BTTDA,PARAFACDA,0.1337447392688773,0.15462635617846127,38.0,,37.0,0.2736827245515479,6
69,BrainInvaders2015a,6,BTTDA,PARAFACDA,3.220326334485435e-07,0.8438219341448183,43.0,***,42.0,0.25649532988135293,7
78,BrainInvaders2015b,6,BTTDA,PARAFACDA,0.04370670610290972,0.2706248410352155,44.0,*,43.0,0.25343094402643906,8
87,Cattan2019-VR,6,BTTDA,PARAFACDA,0.3971611386464621,0.20749800763644027,21.0,,20.0,0.37636437622170166,9
96,EPFLP300,6,BTTDA,PARAFACDA,0.03515625,0.8143580016818032,8.0,*,7.0,0.6698346895648992,10
105,Huebner2017,6,BTTDA,PARAFACDA,0.1368408203125,0.31920050558476526,13.0,,12.0,0.4943176284241863,11
114,Huebner2018,6,BTTDA,PARAFACDA,0.00390625,0.8751356210441528,12.0,**,11.0,0.5184272917560628,12
123,Lee2019-ERP,6,BTTDA,PARAFACDA,0.003298572807407106,0.38304762354056554,54.0,**,53.0,0.2278183638906122,13
-1,\textbf{Meta-effect},14,BTTDA,PARAFACDA,3.2821499679247565e-15,0.5459776236781401,26.714285714285715,***,25.714285714285715,0.3301324259797695,14
