,dataset,index,pipe1,pipe2,p,smd,nsub,p_star,dof,ci,dataset_idx
5,BNCI2014-008,5,PARAFACDA,HODA,0.0078125,1.2125030623723707,8.0,**,7.0,0.6698346895648992,0
14,BNCI2014-009,5,PARAFACDA,HODA,0.037109375,0.6571760742014849,10.0,*,9.0,0.5796812075496328,1
23,BNCI2015-003,5,PARAFACDA,HODA,0.0068359375,1.097080937337292,10.0,**,9.0,0.5796812075496328,2
32,BrainInvaders2012,5,PARAFACDA,HODA,7.84560109977792e-06,1.4117540564432127,25.0,***,24.0,0.34217641598188553,3
41,BrainInvaders2013a,5,PARAFACDA,HODA,8.7738037109375e-05,0.8714060417939355,24.0,***,23.0,0.34984256063871066,4
50,BrainInvaders2014a,5,PARAFACDA,HODA,8.066271101571557e-11,1.0849039000865563,64.0,***,63.0,0.20867527771335156,5
59,BrainInvaders2014b,5,PARAFACDA,HODA,0.002238178132136024,0.5127384528445602,38.0,**,37.0,0.2736827245515479,6
68,BrainInvaders2015a,5,PARAFACDA,HODA,2.2074004846217576e-08,0.9325703925580598,43.0,***,42.0,0.25649532988135293,7
77,BrainInvaders2015b,5,PARAFACDA,HODA,4.943672138324473e-10,1.1986949336159647,44.0,***,43.0,0.25343094402643906,8
86,Cattan2019-VR,5,PARAFACDA,HODA,1.5735626220703125e-05,1.1687574814496906,21.0,***,20.0,0.37636437622170166,9
95,EPFLP300,5,PARAFACDA,HODA,0.01171875,1.3359438489460205,8.0,*,7.0,0.6698346895648992,10
104,Huebner2017,5,PARAFACDA,HODA,0.0003662109375,0.619107844697382,13.0,***,12.0,0.4943176284241863,11
113,Huebner2018,5,PARAFACDA,HODA,0.003662109375,1.0930604380243178,12.0,**,11.0,0.5184272917560628,12
122,Lee2019-ERP,5,PARAFACDA,HODA,1.0176994130798588e-10,1.017269250569111,54.0,***,53.0,0.2278183638906122,13
-1,\textbf{Meta-effect},14,PARAFACDA,HODA,3.337062866830425e-48,1.015211908209997,26.714285714285715,***,25.714285714285715,0.3301324259797695,14
