,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8123898,10.80806,4200.0,1,0,8,1,BNCI2014-008,HODA
1,0.82671225,19.842234,4200.0,1,0,8,1,BNCI2014-008,PARAFACDA
2,0.8298327,21.622826,4200.0,1,0,8,1,BNCI2014-008,BTTDA
3,0.8067857,12.670622,4200.0,2,0,8,1,BNCI2014-008,HODA
4,0.8102898,16.947948,4200.0,2,0,8,1,BNCI2014-008,PARAFACDA
5,0.8159776,25.195417,4200.0,2,0,8,1,BNCI2014-008,BTTDA
6,0.86773676,11.363623,4200.0,3,0,8,1,BNCI2014-008,HODA
7,0.88499796,16.285252,4200.0,3,0,8,1,BNCI2014-008,PARAFACDA
8,0.8866694,21.11717,4200.0,3,0,8,1,BNCI2014-008,BTTDA
9,0.8015714,4.457031,4200.0,4,0,8,1,BNCI2014-008,HODA
10,0.8077653,15.071178,4200.0,4,0,8,1,BNCI2014-008,PARAFACDA
11,0.8094061,26.234465,4200.0,4,0,8,1,BNCI2014-008,BTTDA
12,0.8459204,8.615309,4200.0,5,0,8,1,BNCI2014-008,HODA
13,0.8533918,11.721305,4200.0,5,0,8,1,BNCI2014-008,PARAFACDA
14,0.85719186,19.990633,4200.0,5,0,8,1,BNCI2014-008,BTTDA
15,0.8752286,10.369608,4200.0,6,0,8,1,BNCI2014-008,HODA
16,0.8741898,14.569395,4200.0,6,0,8,1,BNCI2014-008,PARAFACDA
17,0.87628776,30.17128,4200.0,6,0,8,1,BNCI2014-008,BTTDA
18,0.86643875,5.028928,4200.0,7,0,8,1,BNCI2014-008,HODA
19,0.8706633,15.26754,4200.0,7,0,8,1,BNCI2014-008,PARAFACDA
20,0.8688408,21.052145,4200.0,7,0,8,1,BNCI2014-008,BTTDA
21,0.9401469,4.5942707,4200.0,8,0,8,1,BNCI2014-008,HODA
22,0.9515551,17.35453,4200.0,8,0,8,1,BNCI2014-008,PARAFACDA
23,0.9517633,28.968607,4200.0,8,0,8,1,BNCI2014-008,BTTDA
24,0.9310636,3.2271032,576.0,1,0,16,3,BNCI2014-009,HODA
25,0.9198739,2.0054803,576.0,1,1,16,3,BNCI2014-009,HODA
26,0.9251754,1.8994182,576.0,1,2,16,3,BNCI2014-009,HODA
27,0.9592105,6.7894344,576.0,1,0,16,3,BNCI2014-009,PARAFACDA
28,0.95377195,6.1296234,576.0,1,1,16,3,BNCI2014-009,PARAFACDA
29,0.9508498,5.8862247,576.0,1,2,16,3,BNCI2014-009,PARAFACDA
30,0.9635636,7.1957064,576.0,1,0,16,3,BNCI2014-009,BTTDA
31,0.9605592,9.409191,576.0,1,1,16,3,BNCI2014-009,BTTDA
32,0.9586239,7.866485,576.0,1,2,16,3,BNCI2014-009,BTTDA
33,0.91213816,3.2838233,576.0,2,0,16,3,BNCI2014-009,HODA
34,0.9276261,2.0383825,576.0,2,1,16,3,BNCI2014-009,HODA
35,0.9399945,2.1354072,576.0,2,2,16,3,BNCI2014-009,HODA
36,0.9424068,7.7967715,576.0,2,0,16,3,BNCI2014-009,PARAFACDA
37,0.97866774,6.48531,576.0,2,1,16,3,BNCI2014-009,PARAFACDA
38,0.9523465,6.8982196,576.0,2,2,16,3,BNCI2014-009,PARAFACDA
39,0.9341831,9.262024,576.0,2,0,16,3,BNCI2014-009,BTTDA
40,0.9752248,8.484408,576.0,2,1,16,3,BNCI2014-009,BTTDA
41,0.9486513,7.665413,576.0,2,2,16,3,BNCI2014-009,BTTDA
42,0.76360196,3.6438124,576.0,3,0,16,3,BNCI2014-009,HODA
43,0.93086076,2.1960618,576.0,3,1,16,3,BNCI2014-009,HODA
44,0.9433004,1.7474301,576.0,3,2,16,3,BNCI2014-009,HODA
45,0.7310636,7.350924,576.0,3,0,16,3,BNCI2014-009,PARAFACDA
46,0.94648576,7.0780687,576.0,3,1,16,3,BNCI2014-009,PARAFACDA
47,0.94370615,6.780819,576.0,3,2,16,3,BNCI2014-009,PARAFACDA
48,0.75413924,8.766627,576.0,3,0,16,3,BNCI2014-009,BTTDA
49,0.9492873,9.367213,576.0,3,1,16,3,BNCI2014-009,BTTDA
50,0.9532566,7.2298174,576.0,3,2,16,3,BNCI2014-009,BTTDA
51,0.9535417,3.2467194,576.0,4,0,16,3,BNCI2014-009,HODA
52,0.9405702,2.019391,576.0,4,1,16,3,BNCI2014-009,HODA
53,0.92802083,1.9603869,576.0,4,2,16,3,BNCI2014-009,HODA
54,0.9647423,7.84061,576.0,4,0,16,3,BNCI2014-009,PARAFACDA
55,0.9530592,6.4745007,576.0,4,1,16,3,BNCI2014-009,PARAFACDA
56,0.9399397,6.8842525,576.0,4,2,16,3,BNCI2014-009,PARAFACDA
57,0.96954495,7.5594006,576.0,4,0,16,3,BNCI2014-009,BTTDA
58,0.95750546,7.3651347,576.0,4,1,16,3,BNCI2014-009,BTTDA
59,0.95180374,6.831743,576.0,4,2,16,3,BNCI2014-009,BTTDA
60,0.97229165,3.169426,576.0,5,0,16,3,BNCI2014-009,HODA
61,0.95375,1.8928587,576.0,5,1,16,3,BNCI2014-009,HODA
62,0.9613103,1.333368,576.0,5,2,16,3,BNCI2014-009,HODA
63,0.9708936,7.191111,576.0,5,0,16,3,BNCI2014-009,PARAFACDA
64,0.96031797,6.815299,576.0,5,1,16,3,BNCI2014-009,PARAFACDA
65,0.9762555,6.629188,576.0,5,2,16,3,BNCI2014-009,PARAFACDA
66,0.97555375,9.5292635,576.0,5,0,16,3,BNCI2014-009,BTTDA
67,0.9693037,9.49223,576.0,5,1,16,3,BNCI2014-009,BTTDA
68,0.97126645,6.563187,576.0,5,2,16,3,BNCI2014-009,BTTDA
69,0.88367325,3.2460148,576.0,6,0,16,3,BNCI2014-009,HODA
70,0.92428726,1.9439092,576.0,6,1,16,3,BNCI2014-009,HODA
71,0.93826205,1.8724488,576.0,6,2,16,3,BNCI2014-009,HODA
72,0.87684757,6.8144274,576.0,6,0,16,3,BNCI2014-009,PARAFACDA
73,0.92783993,6.5267324,576.0,6,1,16,3,BNCI2014-009,PARAFACDA
74,0.9385307,5.9621043,576.0,6,2,16,3,BNCI2014-009,PARAFACDA
75,0.889671,9.807054,576.0,6,0,16,3,BNCI2014-009,BTTDA
76,0.9202138,7.6170387,576.0,6,1,16,3,BNCI2014-009,BTTDA
77,0.94747806,7.327591,576.0,6,2,16,3,BNCI2014-009,BTTDA
78,0.9389419,3.1954854,576.0,7,0,16,3,BNCI2014-009,HODA
79,0.9434759,1.99284,576.0,7,1,16,3,BNCI2014-009,HODA
80,0.89489585,1.9225727,576.0,7,2,16,3,BNCI2014-009,HODA
81,0.9362007,6.041006,576.0,7,0,16,3,BNCI2014-009,PARAFACDA
82,0.9449671,7.179907,576.0,7,1,16,3,BNCI2014-009,PARAFACDA
83,0.8780592,5.599823,576.0,7,2,16,3,BNCI2014-009,PARAFACDA
84,0.9436897,7.5884547,576.0,7,0,16,3,BNCI2014-009,BTTDA
85,0.9443202,7.48715,576.0,7,1,16,3,BNCI2014-009,BTTDA
86,0.88745064,7.0855937,576.0,7,2,16,3,BNCI2014-009,BTTDA
87,0.9428509,3.217713,576.0,8,0,16,3,BNCI2014-009,HODA
88,0.91020286,2.4813213,576.0,8,1,16,3,BNCI2014-009,HODA
89,0.8930537,2.316103,576.0,8,2,16,3,BNCI2014-009,HODA
90,0.94125,6.841503,576.0,8,0,16,3,BNCI2014-009,PARAFACDA
91,0.90229714,7.455404,576.0,8,1,16,3,BNCI2014-009,PARAFACDA
92,0.8863651,7.4596825,576.0,8,2,16,3,BNCI2014-009,PARAFACDA
93,0.9445669,8.979268,576.0,8,0,16,3,BNCI2014-009,BTTDA
94,0.9049781,7.312715,576.0,8,1,16,3,BNCI2014-009,BTTDA
95,0.88202304,8.802644,576.0,8,2,16,3,BNCI2014-009,BTTDA
96,0.9781085,3.19373,576.0,9,0,16,3,BNCI2014-009,HODA
97,0.9561952,2.0064301,576.0,9,1,16,3,BNCI2014-009,HODA
98,0.9284101,2.1704872,576.0,9,2,16,3,BNCI2014-009,HODA
99,0.98650765,7.2703996,576.0,9,0,16,3,BNCI2014-009,PARAFACDA
100,0.96510416,6.3566523,576.0,9,1,16,3,BNCI2014-009,PARAFACDA
101,0.95775217,5.4162397,576.0,9,2,16,3,BNCI2014-009,PARAFACDA
102,0.9835252,11.622619,576.0,9,0,16,3,BNCI2014-009,BTTDA
103,0.9718421,6.3663673,576.0,9,1,16,3,BNCI2014-009,BTTDA
104,0.9530263,5.791898,576.0,9,2,16,3,BNCI2014-009,BTTDA
105,0.9840241,3.2493072,576.0,10,0,16,3,BNCI2014-009,HODA
106,0.98161185,1.8700546,576.0,10,1,16,3,BNCI2014-009,HODA
107,0.9693805,1.2764761,576.0,10,2,16,3,BNCI2014-009,HODA
108,0.98535633,6.933722,576.0,10,0,16,3,BNCI2014-009,PARAFACDA
109,0.9868147,6.5397344,576.0,10,1,16,3,BNCI2014-009,PARAFACDA
110,0.97282344,7.0229135,576.0,10,2,16,3,BNCI2014-009,PARAFACDA
111,0.99110746,8.526053,576.0,10,0,16,3,BNCI2014-009,BTTDA
112,0.98217106,7.2285566,576.0,10,1,16,3,BNCI2014-009,BTTDA
113,0.98285633,8.060934,576.0,10,2,16,3,BNCI2014-009,BTTDA
114,0.75816506,3.9417772,5400.0,1,0,8,1,BNCI2015-003,HODA
115,0.79086983,9.734748,5400.0,1,0,8,1,BNCI2015-003,PARAFACDA
116,0.79689527,18.39799,5400.0,1,0,8,1,BNCI2015-003,BTTDA
117,0.93269205,3.402352,5400.0,2,0,8,1,BNCI2015-003,HODA
118,0.93366987,9.552349,5400.0,2,0,8,1,BNCI2015-003,PARAFACDA
119,0.93692696,16.143265,5400.0,2,0,8,1,BNCI2015-003,BTTDA
120,0.76993334,3.2989933,1800.0,3,0,8,1,BNCI2015-003,HODA
121,0.8006,8.069246,1800.0,3,0,8,1,BNCI2015-003,PARAFACDA
122,0.8027222,11.543093,1800.0,3,0,8,1,BNCI2015-003,BTTDA
123,0.8297778,3.5588923,1800.0,4,0,8,1,BNCI2015-003,HODA
124,0.86814445,9.351989,1800.0,4,0,8,1,BNCI2015-003,PARAFACDA
125,0.8709222,14.013884,1800.0,4,0,8,1,BNCI2015-003,BTTDA
126,0.82695556,3.1970763,1800.0,5,0,8,1,BNCI2015-003,HODA
127,0.86043334,7.3392925,1800.0,5,0,8,1,BNCI2015-003,PARAFACDA
128,0.8665778,11.882963,1800.0,5,0,8,1,BNCI2015-003,BTTDA
129,0.6954111,9.084293,1800.0,6,0,8,1,BNCI2015-003,HODA
130,0.6783556,8.27684,1800.0,6,0,8,1,BNCI2015-003,PARAFACDA
131,0.6855111,10.685635,1800.0,6,0,8,1,BNCI2015-003,BTTDA
132,0.81652224,2.9960613,1800.0,7,0,8,1,BNCI2015-003,HODA
133,0.8331222,6.501496,1800.0,7,0,8,1,BNCI2015-003,PARAFACDA
134,0.83287776,10.264325,1800.0,7,0,8,1,BNCI2015-003,BTTDA
135,0.89096665,2.630571,1800.0,8,0,8,1,BNCI2015-003,HODA
136,0.9077778,7.057321,1800.0,8,0,8,1,BNCI2015-003,PARAFACDA
137,0.9079889,9.923981,1800.0,8,0,8,1,BNCI2015-003,BTTDA
138,0.86726665,3.3139448,1800.0,9,0,8,1,BNCI2015-003,HODA
139,0.90081114,6.5283856,1800.0,9,0,8,1,BNCI2015-003,PARAFACDA
140,0.8996,10.009612,1800.0,9,0,8,1,BNCI2015-003,BTTDA
141,0.8862444,3.688178,1800.0,10,0,8,1,BNCI2015-003,HODA
142,0.89716667,6.6620283,1800.0,10,0,8,1,BNCI2015-003,PARAFACDA
143,0.89857775,9.987837,1800.0,10,0,8,1,BNCI2015-003,BTTDA
144,0.9034399,9.52034,768.0,1,0,16,1,BrainInvaders2012,HODA
145,0.9493654,15.423862,768.0,1,0,16,1,BrainInvaders2012,PARAFACDA
146,0.9477404,24.4092,768.0,1,0,16,1,BrainInvaders2012,BTTDA
147,0.9309146,18.090855,764.0,2,0,16,1,BrainInvaders2012,HODA
148,0.94704825,15.737418,764.0,2,0,16,1,BrainInvaders2012,PARAFACDA
149,0.9505613,23.71814,764.0,2,0,16,1,BrainInvaders2012,BTTDA
150,0.9190048,11.714348,768.0,3,0,16,1,BrainInvaders2012,HODA
151,0.9390673,15.934016,768.0,3,0,16,1,BrainInvaders2012,PARAFACDA
152,0.94350964,24.457447,768.0,3,0,16,1,BrainInvaders2012,BTTDA
153,0.96272904,12.15636,765.0,4,0,16,1,BrainInvaders2012,HODA
154,0.96599567,15.833286,765.0,4,0,16,1,BrainInvaders2012,PARAFACDA
155,0.9654995,24.27945,765.0,4,0,16,1,BrainInvaders2012,BTTDA
156,0.86128813,10.896811,764.0,5,0,16,1,BrainInvaders2012,HODA
157,0.92855597,15.703643,764.0,5,0,16,1,BrainInvaders2012,PARAFACDA
158,0.91843385,24.469824,764.0,5,0,16,1,BrainInvaders2012,BTTDA
159,0.856816,15.423503,765.0,6,0,16,1,BrainInvaders2012,HODA
160,0.92635334,16.349363,765.0,6,0,16,1,BrainInvaders2012,PARAFACDA
161,0.92970973,25.632795,765.0,6,0,16,1,BrainInvaders2012,BTTDA
162,0.88201684,12.815657,768.0,7,0,16,1,BrainInvaders2012,HODA
163,0.90578127,15.980485,768.0,7,0,16,1,BrainInvaders2012,PARAFACDA
164,0.91510576,24.220718,768.0,7,0,16,1,BrainInvaders2012,BTTDA
165,0.856816,17.98317,765.0,8,0,16,1,BrainInvaders2012,HODA
166,0.92635334,16.696545,765.0,8,0,16,1,BrainInvaders2012,PARAFACDA
167,0.92970973,24.413147,765.0,8,0,16,1,BrainInvaders2012,BTTDA
168,0.89195883,11.155006,761.0,9,0,16,1,BrainInvaders2012,HODA
169,0.9235639,16.587555,761.0,9,0,16,1,BrainInvaders2012,PARAFACDA
170,0.9222459,24.5846,761.0,9,0,16,1,BrainInvaders2012,BTTDA
171,0.77631843,12.482036,758.0,10,0,16,1,BrainInvaders2012,HODA
172,0.875057,15.6566925,758.0,10,0,16,1,BrainInvaders2012,PARAFACDA
173,0.8732932,23.41015,758.0,10,0,16,1,BrainInvaders2012,BTTDA
174,0.8126137,11.605501,766.0,11,0,16,1,BrainInvaders2012,HODA
175,0.9065328,19.168732,766.0,11,0,16,1,BrainInvaders2012,PARAFACDA
176,0.9028141,25.966885,766.0,11,0,16,1,BrainInvaders2012,BTTDA
177,0.9799303,10.371673,768.0,12,0,16,1,BrainInvaders2012,HODA
178,0.99571395,16.817852,768.0,12,0,16,1,BrainInvaders2012,PARAFACDA
179,0.99559134,26.18275,768.0,12,0,16,1,BrainInvaders2012,BTTDA
180,0.7887399,15.755346,767.0,13,0,16,1,BrainInvaders2012,HODA
181,0.8544019,17.370724,767.0,13,0,16,1,BrainInvaders2012,PARAFACDA
182,0.8788159,26.124046,767.0,13,0,16,1,BrainInvaders2012,BTTDA
183,0.84365624,10.77601,768.0,14,0,16,1,BrainInvaders2012,HODA
184,0.83629566,16.88225,768.0,14,0,16,1,BrainInvaders2012,PARAFACDA
185,0.8671803,26.473654,768.0,14,0,16,1,BrainInvaders2012,BTTDA
186,0.8431239,13.396469,766.0,15,0,16,1,BrainInvaders2012,HODA
187,0.87657636,16.332773,766.0,15,0,16,1,BrainInvaders2012,PARAFACDA
188,0.89498454,25.637466,766.0,15,0,16,1,BrainInvaders2012,BTTDA
189,0.85509133,10.397996,768.0,16,0,16,1,BrainInvaders2012,HODA
190,0.9278798,18.49839,768.0,16,0,16,1,BrainInvaders2012,PARAFACDA
191,0.92138463,26.422306,768.0,16,0,16,1,BrainInvaders2012,BTTDA
192,0.8493574,11.805708,765.0,17,0,16,1,BrainInvaders2012,HODA
